tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
10688,AppleSupport,False,Wed Nov 01 00:38:25 +0000 2017,@117966 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,,10689
10689,117966,True,Wed Nov 01 00:27:58 +0000 2017,updated to iOS 11.1 @AppleSupport and there's so many glitches and bugs I found inside the update,10688,
22987,AppleSupport,False,Sun Nov 26 00:39:00 +0000 2017,"@121003 We can help. As long as this app supports Family Sharing, you'll be able to download it by following the steps in our article. Give them a shot, and let us know if this continues: https://t.co/IotWsTk0Px https://t.co/GDrqU22YpT",,22988
22988,121003,True,Sun Nov 26 00:32:47 +0000 2017,"@AppleSupport Trying to download an app to a family member's phone that I purchased as the family group organizer.  Being asked to purchase it, but I don't want to be charged again.  Suggestions? https://t.co/Y730eW0nZe",22987,
23129,AppleSupport,False,Sun Nov 26 00:15:27 +0000 2017,@121037 We'd be happy to take a look into this with you. Could you please send us a DM so we can gather some information and get started? https://t.co/GDrqU22YpT,,23130
23130,121037,True,Sun Nov 26 00:10:18 +0000 2017,"Dear @115858, you’re really rude for ruining the battery life on our phones with that last update.",23129,
34623,AppleSupport,False,Wed Nov 01 13:25:32 +0000 2017,@123505 Great question! Our account security team is best suited to help you. You can reach them directly here:  https://t.co/UJm15vmMM2,,34624
34624,123505,True,Wed Nov 01 08:53:39 +0000 2017,"@AppleSupport Is there a way to merge two AppleID’s, so I can use all bought items in one ID and delete the other?",34623,
35346,AppleSupport,False,Wed Nov 01 13:29:52 +0000 2017,@123705 Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. https://t.co/GDrqU22YpT,,35347
35347,123705,True,Wed Nov 01 10:01:36 +0000 2017,"@AppleSupport my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. #newiosblows",35346,
35977,AppleSupport,False,Mon Oct 30 18:41:45 +0000 2017,"#AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2","35978,35979,35976,35980,35981,35982,35983,35984,35985,35986,35987,35988,35989,35990,35991,35992,35993,35994,35995,35996,35997,35998,35999,36000,36001,36002,36003,36004,36005,36006,36007,36008,36009,36010,36011,36012,36013",
